nombre,razon_social,domicilio,colonia,poblacion
GASOL RICARDO CRUZ A,CRUZ AGUILERA RICARDO,KM 0.5 CARR ABAS ESTAC JOAQUIN,JUAREZ,ABASOLO GTO
MULTISERVICIOS ABASOLO,MULTISERVICIOS ABASOLO SA CV  ,CARR 90 IRAP GUAD KM 26600,RCHO SAN ISIDRO,ABASOLO GTO
RICARDO CRUZ A,CRUZ AGUILERA RICARDO,LERDO OTE NO 621,CENTRO,ABASOLO GTO
SERV FYPSA,SERV Y AUTOPARTES FYPSA SRL CV,LERDO OTE NO 519,CENTRO,ABASOLO GTO
SERV SAN ISIDRO,CRUZ AGUILERA RICARDO,CARR IRAPUATO LA PIEDAD KM27,CENTRO,ABASOLO GTO
SERVIEXPRESS DELFINES ,SERVIEXPRESS DELFINES SA CV,CARR IRAPUATO LA PIEDAD KM 34,EL TEPOCATE,ABASOLO GTO
SERV SANTA ISABEL,CERVANTES LOPEZ JOSE O,CARR FED T AMOZOC  KM 20 560,SANTA ISABEL TEPETZ,ACAJETE PUE
COMBUSTIBLE D ACAMBARO,COMBUSTIBLES DE ACAMBARO SACV ,CARR ACAMBARO MORELIA NO 469 B,SN ISIDRO,ACAMBARO GTO
MULTISERV EL TORNERO  ,MULTISERVICIOS EL TORNERO SACV,RCHO EL TORNERO KM 9,SAN JOSE DE MEDINA,ACAMBARO GTO
SERV ACAMBARO,SER ACAMBARO SACV,PROL V GUERRERO NO 184,RANCHO GRANDE,ACAMBARO GTO
SERV GUERRERO DE ACAM ,SERV GUERRERO DE ACAM SA CV,CARR ACAMBARO SALVAT KM 3.5,RANCHO GRANDE,ACAMBARO GTO
GASOL CRIMER,CRIMER SA CV,CARR TOLUCA QRO KM 146,ACAMBAY,ACAMBAY EM
SERV SIERRA HERMANOS  ,SERV SIERRA HERMANOS SA CV,CARR INTNAL MEX NOGALE KM 1042,CENTRO,ACAPONETA NAY
APTO DE ACAPULCO,AEROPUERTOS Y SERV AUXILIARES ,BLVD DE LAS NACIONES SN,MUNICIPIO PLAN DE LOS AMANTES,ACAPULCO GRO
CIMOVI ES,SERVICIO CIMOVI SA CV,CARR CAYACO P MARQUEZ NO 109,LLANO LARGO,ACAPULCO GRO
CONSORCIO GASOL DARCEL,CONSORCIO GASOL DARCEL SA CV  ,CARR ESCENICA LTE NO 1 MZ 1,BRISAMAR,ACAPULCO GRO
EST SERV TUZINGO,EST SERV TUZINGO SA CV,CARR ACAPULCO PINOTEPA KM 8,TUNCINGO,ACAPULCO GRO
ESTACION SERV FLORIDA ,ESTACION SERV FLORIDA SA CV,AV BAJA CALIFORNIA SN L 51 52,PROGRESO,ACAPULCO GRO
GASOL CLUB DE YATES,CLUB DE YATES ACAPULCO AC,GRAN VIA TROPICAL SN Y TAMBUCO,FRACC LAS PLAYAS,ACAPULCO GRO
GASOL DETER,ARREDONDO VILLANUEVA HNOS SA  ,KM 394 CARR NAL MEX ACAPULCO,LAS CRUCES,ACAPULCO GRO
GASOL LOS ORGANOS,GASOL LOS ORGANOS SA CV,CARR NAL ACAPULCO  MEX KM 15,LOS ORGANOS,ACAPULCO GRO
GASOL MAGALLANES,SERV MAGALLANES SA CV,AV WILFRIDO MASSIEU NO 8 304,FRACC MAGALLANES,ACAPULCO GRO
GASOL MODELO,ALCARAZ SOBERANIS SA CV,AQUILES SERDAN Y CJON LIMA SN,CENTRO,ACAPULCO GRO
GASOL SERVI FER,SERVI FER SA CV,AV LAZARO CARDENAS NO 1,LA MAQUINA,ACAPULCO GRO
LIBERTADORES,SERV LIBERTADORES SA CV,BLVD J LOPEZ PORTILLO LT23 MZ3,LIBERTADORES,ACAPULCO GRO
OES ACAPULCO,OPER D ESTACIO D SERV ACA SACV,CONSTITUYENTES,BELLA VISTA,ACAPULCO GRO
SERV CAYACO,SERVICIO CAYACO SA CV,CARR NAL ACAP PINOTEPA KM 45.1,CAYACO,ACAPULCO GRO
SERV DIAMANTE,SERVICIO DIAMANTE SA CV,BLVD DE LAS NACIONES NO 1 Y 2,FRACC GRANJAS DEL MARQUEZ,ACAPULCO GRO
SERV MANTARRAYA,SERV MANTARRAYA SA CV,BLVD DLAS NACIONES KM 10.5 90,JARDIN DE LOS AMATES,ACAPULCO GRO
SERV MANTARRAYA DEB,SERV MANTARRAYA SACV,BLVD DLAS NACIONES KM 10.5 90,FRACC JARDIN PRINCESA,ACAPULCO GRO
SERV GONZALEZ,GONZALEZ MEDINA ANTONIO,CARR TULANCINGO HUSCA KM 11 SN,ALMOLOYA,ACATLAN HGO
SERV MODELO,LOPEZ DOMINGUEZ RAFAEL,CARR FED ENT LIB VIA JALAPA,CENTRO,ACATZINGO PUE
SERV G Y G,GARCIA Y GARCIA JOSE LUIS,CARR MEX TUXPAN KM 166,VENTA QUEMADA,ACAXOCHITLAN HGO
SERV G Y G DEB,GARCIA Y GARCIA JOSE LUIS,CARR MEX TUXPAN KM 166,VENTA QUEMADA,ACAXOCHITLAN HGO
GAS MABARAK,GAS DEL GOLFO D MEXICO SA CV  ,CARR FEDERAL 180 KM 225 SN,ALEMAN MIGUEL,ACAYUCAN VER
SERVI FACIL,SERV FACIL DEL SURESTE SA CV  ,CARR COSTERA DEL GOLFO KM 226,CENTRO,ACAYUCAN VER
OPER GASOIL,OPER GASOIL SA CV,CARR MEX TEOTIHUACAN KM 34.5,TEPEXPAN,ACOLMAN EM
GASOL ESTACION 0677,SERVS EMPR Y ADMIVOS HGO SA CV,CARR MEXICO LAREDO KM 118,CENTRO,ACTOPAN HGO
GASOL ESTACION 5654,GRUPO GASOLINERO DE HGO SA CV ,CARR MEXICO LAREDO KM 121.7,CENTRO,ACTOPAN HGO
GASOLUB JIADHI DEB,GASOLUB SA CV,CARR MEXICO LAREDO KM 115,EL JIADI ACTOPAN,ACTOPAN HGO
SERV ACEVEDO,ANGELES CABALLERO OFELIA,CARR MEX LARE NO KM 119,CENTRO,ACTOPAN HGO
SERV GASOLINERO DAMG  ,DAMG SA CV,PRL EFREN REBOLLEDO NO 344,CENTRO,ACTOPAN HGO
ORVI COMB ATLACOMULCO ,ORVI COMBUSTIBLES SA CV,CARR PANAM ATLAC ACAMBAY KM 1,ARROYO ZARCO,ACULCO EM
SERV TREVINO,SERV TREVINO DE ACUNA SA CV,H COLEGIO MILITAR NO 490,ONCE DE OCTUBRE,ACUNA COAH
SERV JUAREZ,RIVERA QUINTANAR ALFREDO,DOMICILIO CONOCIDO SN,BENITO JUAREZ,AGUA DULCE VER
EMPRESAS IBARROLA ELIA,EMPRESAS IBARROLA ELIAS SA CV ,CARR A JANOS AV 17 Y 18 SN,CENTRO,AGUA PRIETA SON
EST D SERV LOS PINOS  ,EST D SERV LOS PINOS SA CV,ENTROQUE CARR A CANANEA SN,CENTRO,AGUA PRIETA SON
GASOL NORBAR,GASOL NORBAR SA CV,C 22 NO 3215 Y AV 32,CENTRO,AGUA PRIETA SON
GASOLS D NOROESTE,GASOLINERAS D NOROESTE SA CV  ,C 6 AV 33 NO 3295,CENTRO,AGUA PRIETA SON
APTO DE AGUASCALIENTES,AEROPUERTOS Y SERV AUXILIARES ,CARR PANAMERICANA KM 22,EJIDO PENUELAS,AGUASCALIENTES AGS
GASOL ASTRA DEB,GASOLINERA ASTRA SA CV,AV DE LA CONVENCION SUR NO 600,FRACC LAS AMERICAS,AGUASCALIENTES AGS
GASOL LA FERIA,SERV DE ALBA O SA CV,AV CONVENCION DE 1914 NO 410,CIRCUNVALACION PONIENTE,AGUASCALIENTES AGS
LOS PERALES DE AGS,LOS PERALES DE AGS SA CV,AV AGUASCALIENTES NO 2604,OJOCALIENTE,AGUASCALIENTES AGS
MULTERSERVICOS MORITA ,MULTISERV ESP MORITA SA CV,C JUAN CARLOS NO 119,VISTA ALEGRE,AGUASCALIENTES AGS
SERV AVENIDA,SERV AVENIDA SA CV,AV D LA CONVENCION NTE NO 1902,BUENOS AIRES,AGUASCALIENTES AGS
SERV GASOLINEROS D MEX,SERV GASOLINEROS MEX SACV,AV AGUASCALIENTES SUR NO 3402,PRADOS DEL SUR,AGUASCALIENTES AGS
SERV GASOLINEROS D MEX,SERV GASOLINEROS MEX SACV,AV AGUASCALIENTES NTE NO 724,CENTRO,AGUASCALIENTES AGS
SERV GASOLINEROS D MEX,SERV GASOLINEROS MEX S,DOM CONOCIDO,CURTIDORES,AGUASCALIENTES AGS
SERV GASOLINEROS D MEX,SERV GASOLINEROS MEX SACV,AV DE LA COMUNICACION NTE 406,GREMIAL FERROCARRILERA,AGUASCALIENTES AGS
SERV GIACINTI,SERV GIACINTI SA,BLVD A ZACATECAS NO 304,EL PLATEADO,AGUASCALIENTES AGS
SERV LAS TROJES,PALOMINO MACIAS GERARDO,PROL NINOS HEROES NO 101,GRANJAS CAMPESTRE,AGUASCALIENTES AGS
SERV MARIN,SERVICIO MARIN SA CV,AV SIGLO XXI NO 6401,CONSTITUCION,AGUASCALIENTES AGS
SUPERSERV TERECAR,SUPERSERVICIO TERECAR SA CV,BLVD SIGLO XXI NO 301,CD INDUSTRIAL,AGUASCALIENTES AGS
SUPERSERVICIO TERECAR ,SUPERSERVICIO TERECAR SA CV,BLVD ADOLFO R CORTINEZ NO 901,FRANCISCO VILLA,AGUASCALIENTES AGS
COMB DE LA HIGUERA,COMB DE LA HIGUERA SA CV,ZARAGOZA Y JUSTO SIERRA NO 24,HIGUERA DE ZARAGOZA,AHOME SIN
ESTACIONES DEL VALLE  ,ESTACIONES DEL VALLE SA CV,CARR INTERNACIONAL KM 40.800 S,LOS GOROS,AHOME SIN
GASOL EL CARRIZO MATRI,GASOL EL CARRIZO SA CV,C 4A Y 4A MZ NO 74,DIAZ ORDAZ GUSTAVO VILLA,AHOME SIN
GASOL EL CARRIZO SUCL ,GASOL EL CARRIZO SA CV,BLVD J ORTIZ DGUEZ SN,DIAZ ORDAZ GUSTAVO VILLA,AHOME SIN
GASOL TOPOLOBAMPO,GASOL TOPOLOBAMPO SA CV,EJE 4 ESQ EJE 5 SN,PQUE IND PESQUERO,AHOME SIN
SERV VILLA DE AHOME,SERVICIO VILLA DE AHOME SA CV ,CARR MOCHIS AHOME NO 4184 PTE,AHOME,AHOME SIN
GASOL VILLA AHUMADA,GASOL VILLA AHUMADA SA CV,CARR PANAMAERICANA NO 1905,AHUMADA VILLA,AHUMADA CHIH
SERV COLONIAL,SALIDO BALDERRAMA JESUS,CARR SALIDA A NAVO ESQ CARLOS,ALAMOS,ALAMOS SON
SERV SALIDO,SALIDO BALDERRAMA JESUS,MADERO NO 26,ALAMOS,ALAMOS SON
GASOL LA PALMA,PAREDES DE LEIJA BEATRIZ,CARR MANUEL SOTA LA MA KM 35 5,ADMON DE CORREOS VILLA ALDAMA,ALDAMA TAMPS
EST DE SERV J6,EST DE SERV J6 SA,CARR NAL KM 234 LAZARI,ALLENDE,ALLENDE NL
GASOL JR,GASOLINERA JO SRL CV,CARR NACIONAL KM 224.2 SN,ALLENDE CIUDAD,ALLENDE NL
PROMOT COMBUSTIB SALTO,PROMOT COMBUSTIBLE SALTO SA CV,CARR NACIONAL Y ZARAGOZA 400 S,ALLENDE CIUDAD,ALLENDE NL
ORVI COMBUSTIBLES,ORVI COMBUSTIBLES SA CV,AV JUAREZ SN,ALMOLOYA DE JUAREZ,ALMOLOYA DE JUAREZ EM
SUPER SERV YUKON,SUPER SERV YUKON SA CV,CARR TOLUCA ZITACUARO KM 17.5,SAN MIGUEL ALMOLOYAN,ALMOLOYA DE JUAREZ EM
ES EL BARQUITO,E S EL BARQUITO SA CV,CARR TAMPICO MANTE KM 13 SN,MIRAMAR,ALTAMIRA TAMPS
GASOL ALTAMIRA,CALLES BADILLO ROBERTO,BLVD ALLENDE NO 101,CENTRO,ALTAMIRA TAMPS
GASOL CALLCEL,CALLES BADILLO ROBERTO,CARR TAMP MANTE NO 101,CUAUHTEMOC ESTACION,ALTAMIRA TAMPS
GASOL LAS PALMAS,GASOLINERA LAS PALMAS SA,CARR TAMPICO MANTE KM 13.75,ALTAMIRA EJIDO,ALTAMIRA TAMPS
SERV APTO,GAS VIDAL RGUEZ GTZ CO SA,CARR TAMPICO MANTE KM 12,LAGUNA DE LA PUERTA,ALTAMIRA TAMPS
SERV DIVISORIA,LLANT GASOLINAS MEXICO SA CV  ,CARR TAMPICO MANTE NO 409,CENTRO,ALTAMIRA TAMPS
SERV LARRAGA 2,SERV LARRAGA SA CV,BLVD ALLENDE NO 308,ZONA CENTRO,ALTAMIRA TAMPS
SERV MORALILLO,GASOL VIDAL RGUEZ G CO SA,CARR TAMPICO VALLE KM 1,CENTRO,ALTAMIRA TAMPS
SERV MULTIMODAL,CTRAL SERV INTEGRADO ALT SA CV,AV RIO TAMESI KM 0 MAS 700,ALTAMIRA EJIDO,ALTAMIRA TAMPS
TRACTO CENTER,TRACTO CENTER SA CV,BLVD DE LOS RIOS NO 1004 KM 28,CENTRO,ALTAMIRA TAMPS
SERV ALTAR,EST SERV ALTAR SRL CV,CARR A SARIC OE NO 3,ALTAR,ALTAR SON
ESTACION 0491 DEB,RUIZ ROJAS MA AZUCENA,FCO JAVIER GOMEZ SN,FCO JAVIER GOMEZ,ALTOTONGA VER
COMB LUB ALVARADO DEB ,COMBU Y LUB ALVARADO SA CV,CARR FED VER ALVARADO KM 70,ALVARADO,ALVARADO VER
GAS MARABAK,GAS DE VERACRUZ MABARAK SA CV ,CARR FED VER ALVARADO KM 48,ALVARADO,ALVARADO VER
SERV LA FUENTE,LUNA OCHOA GERTRUDIS,PROL JUAN SOTO NO SN,ALVARADO,ALVARADO VER
APTO DE MORELIA,APTOS Y SERV AUXILIARES,CARR MORELIA ZINAPECU KM 27,APTO,ALVARO OBREGON MICH
GASOL AUTO SERV OTE,AUTO SERVICIO ORIENTE SA CV,CARR FED CORDOBA VER KM 4.350,LA PENUELA,AMATLAN D LOS REYES VER
SERV AMATLAN,NAVARRO CUETO SALVADOR,CARR AMATLAN AHUACATLAN KM 8,AMATLAN DE CANAS,AMATLAN DE CANAS NAY
GASOLINERA LA ESPERANZ,GOMEZ ZARATE ALBERTO,CARR GUADALAJARA AMECA KM 72  SN,AMECA, CENTRO, LA ESPERANZA,AMECA JAL
SERV ESP DEL VALLE,SERV ESP VALLE AMECA SA CV,ARR A GUADALAJARA KM 1190,CENTRO,AMECA JAL
GASOL 224 SSCF,SUPER SERV CASTRO FLORES SA CV,CARRT MEX CUAUTLA KM 58 5 NO S,AMECAMECA DE JUAREZ,AMECAMECA EM
GASOLUB AMECAMECA DEB ,GASOLUB SA CV,AV 20 DE NOV SN,AMECAMECA,AMECAMECA EM
VILLAVICIOSA,VILLAVICIOSA SA CV,CARR FED PUE TEH KM 10 SN,CHACHAPA,AMOZOC PUE
KOPLA ANGANGUEO,KOPLA SA CV,AV INSURGENTES NO 72,ANGANGUEO ESTACION,ANGANGUEO MICH
OPER DE COMBUSTIBLE,OPER DE COMBUSTIBLE SA CV,KM 0 800 CARR ANGEL A CORZO SN,GUADALUPE VICTORIA,ANGEL ALBINO CORZO CHIS
EL CAMINANTE I,OJEDA BOJORQUEZ CARLOS,CARR COSTERA KM 110.5,CENTRO,ANGOSTURA SIN
EL CAMINANTE II,OJEDA BOJORQUEZ CARLOS,AV CONSTITUCION NO 90,ALHUEY,ANGOSTURA SIN
GASOL ALHUEY,CARDENAS PORTILLO AUDON,AV CONSTITUCION NO 36,ALHUEY,ANGOSTURA SIN
GASOL LA GUADALUPANA  ,GASOL LA GUADALUPANA SA CV,CARR PANAMERICANA KM 21,MARROQUIN,APASEO EL ALTO GTO
GASOL PALMIRA,HERNANDEZ OSEGUERA JESUS E,KM 1.5 CARR APATZINGAN URUA SN,PALMIRA,APATZINGAN MICH
SERV LA NORIA,RODRIGUEZ MERCADO RAMIRO,AV JUAREZ NO 27 SUR,APAXCO DE OCAMPO,APAXCO EM
OPER DE GASOLS TLAX,OPER DE GASOLINERAS TLAX SA CV,MELCHOR OCAMPO NO 50,TECOLOTLA,APETATITLAN D A CARBAJAL TLAX
PISA COMBUSTIBLES,MENESSES PEREZ GREGORIO,AV MELCHOR OCAMPO NO 50,TECOLOTLA,APETATITLAN D A CARBAJAL TLAX
SUPER SERV SAN PABLO  ,SUPER SERV SAN PABLO SA CV,MANUEL DOBLADO NO 2,APETATITLAN,APETATITLAN D A CARBAJAL TLAX
EL NUEVO SERV APIZACO ,EL NVO SERV APIZACO SA CV,CARR MEX VERACRUZ KM 135,CENTRO,APIZACO TLAX
LUBRYGAS DORANTES,LUBRYGAS DORANTES SA CV,16 DE SEP NO 501,CENTRO,APIZACO TLAX
MARA GAS,MARA GAS SA CV,CARR MEX VER KM NO 120 121,CENTRO,APIZACO TLAX
PISA COMBUSTIBLES,MENESES PEREZ GREGORIO,CRT APIZACO SANTA CRUZ NO 60,CENTRO,APIZACO TLAX
PISA COMBUSTIBLES,PISA COMBUSTIBLES SA CV,CAR APIZACO STA CRUZ TLAX NO60,CENTRO,APIZACO TLAX
SERV VAZQUEZ HERMANOS ,SERV VAZQUEZ HERMANOS SA CV,CLL INDEPENDENCIA NO 307,APIZACO CELULOSA,APIZACO TLAX
SUPERSERV SAETA,SUPERSERVICIO SAETA SA CV,CRT HUAMANTLA KM NO 5,RANCHO SANTA ANITA FRAC,APIZACO TLAX
AEROPUERTO MONTERREY  ,AEROPUERTOS Y SERV AUXILIARES ,CARR MIGUEL ALEMAN SN,CENTRO,APODACA NL
COMBUSTIBLES REGIOMONT,COMBUST REGIONALES SA CV,CARR MIGUEL ALEMAN KM NO 17.5,CENTRO,APODACA NL
EST SERVICIO 3530,GPO MIRANDA CORDOBA SA CV,ANTIGUA CARR ROMA SN,ENTRONQ AL MEZQUITAL,APODACA NL
ISIGAS AEROPUERTO,ISIGAS AEROPUERTO SA CV,CARR MIGUEL ALEMAN KM 22.8,FUTURO APODACA,APODACA NL
MONGAS,MONGAS SA CV,CARR HUINALA VILLA NO 201,HUINALA,APODACA NL
PETRO 7 AFGANISTAN,PROD SELECCIONADOS SA CV,AV AFGANISTAN NTE NO 1163,BUROCRATAS MUNICIPALES,APODACA NL
PETRO 7 AGUA FRIA,PROD SELECCIONADOS SACV,CARR MIGUEL ALEMAN NO 1001 A,CENTRO,APODACA NL
PETRO 7 ANDROMEDA,PROD SELECCIONADOS SA CV,AV ANDROMEDA NO 400,LAS PUENTES,APODACA NL
PETRO 7 BALCONES NTE  ,PROD SELECCIONADOS SA CV,CARR LAREDO NO 160,BALCONES DEL NTE 3 SECT,APODACA NL
PETRO 7 R MEZQUITAL,PROD SELECCIONADOS SA CV,CAM REAL MEZQUITAL NO 500,MEZQUITAL,APODACA NL
PETRO 7 SEPULVEDA,PROD SELECCIONADOS SA CV,CARR MIGUEL ALEMAN NO 610 A,CENTRO,APODACA NL
PETRO7 LAS PALMA,PROD SELECCIONADOS SACV,AV SENDERO NTE NO 500,CENTRO,APODACA NL
REFINADOS HUINALA,REFINADOS HUINALA SA CV,CARR HUINALA JUAREZ KM 53,ALAMOS,APODACA NL
SERV ECOGAS,SERVICIO ECOGAS SA CV,MIGUEL ALEMAN NO 510,EL MILAGRO,APODACA NL
SERV ENERGETICOS,SERV ENERGETICOS SA CV,HERMOSILLO NO 501,ALAMOS,APODACA NL
SERV GASOL MEX DEB,SERV GASOL MEXICO SA CV,CARR MEXICO LAREDO NO 202 KM 8,SANTA ROSA,APODACA NL
SERV GASOL MEXICO,SERV GASOL MEXICO SA CV,CARR MEXICO LAREDO NO 202 KM 8,SANTA ROSA,APODACA NL
SUPER SERV SAN BUENA  ,SUPER SERV SAN BUENA SA CV,AV CONQUISTADORES NO 300,FOMERREY 4,APODACA NL
LUB Y COM DE LA COSTA ,LUB Y COM DE LA COSTA SA CV,CARR LA PLACITA KM 0.5,PLACITA DE MORELOS,AQUILA MICH
GASOL 18 D MARZO,KARRAS LOPEZ LAURA P,CARR ARIO PATZC KM 71.5,ARIO DE ROSALES,ARIO MICH
SERV RAMOS,RAMOS ZAVALA ABEL,CARR ARIO HUACANA KM 5,ARIO DE ROSALES,ARIO MICH
SERV LIBRAMIENTO JLP  ,SERVICIO LIBRAMIENTO JLP SA CV,JOSE LOPEZ PORTILLO KM 249 53,ARTEAGA,ARTEAGA COAH
SERV COL,SERV COL SA CV,CARR TEXCOCO LECHERIA KM 27,SAN SALVADOR ATENCO,ATENCO EM
OPER KAMERUN,OPER KAMERUN SA CV,AV DEL NTE SN,ATITALAQUIA,ATITALAQUIA HGO
GASOL CHILUCA,DES BIOLOGICOS E IND SA CV,AV DR JORGE JIMENEZ C SN LT5 2,RANCHO VIEJO,ATIZAPAN D ZARAGOZA EM
GASOL GPO MEXICANO,GASOL GPO MEXICANO SA CV,BLVD A LOPEZ MATEOS NO 65,EL POTRERO,ATIZAPAN D ZARAGOZA EM
SERV AGUA AZUL,SERV AGUA AZUL SA CV,CARR LAGO GPE KM1 SN MZ 124 L3,SAN MIGUEL XOCHIMANGA,ATIZAPAN D ZARAGOZA EM
SERV AGUA AZUL DEB,SERV AGUA AZUL SACV,CARR LAGO GPE KM 1 MZ 124 LT 3,SAN MIGUEL XOCHIMANGA,ATIZAPAN D ZARAGOZA EM
SERV LOS ABETOS,SERV LOS ABETOS SA CV,LAGO DE GOE SN LT 1 MZ8,BOSQUES DE IXTACALA,ATIZAPAN D ZARAGOZA EM
SERV VEGA ATIZAPAN,SERVICO VEGA ATIZAPAN SA,BLVD ADOLFO RUIZ CORTINEZ 7 A,PARAISO AVICOLA,ATIZAPAN D ZARAGOZA EM
SUPER SERV DLT 5000,SUPER SERVICIO DLT SA CV,CARR ATIZAPAN NICOLAS NO KM 9,RESID CASA BLANCA UNIDAD HAB,ATIZAPAN D ZARAGOZA EM
SUPER SERV DLT 5734,SUPER SERVICIO DLT SA CV,BLVD ADOLFO LOPEZ MATEO NO 101,EL POTRERO,ATIZAPAN D ZARAGOZA EM
GAS ALAMEDAS DEB,GAS ALAMEDAS SA CV,BLVD ADOLFO L MATEOS SN,LOPEZ MATEOS,ATIZAPAN EM
GASOL DEL BUEN SUCESO ,GPO DEL BUEN SUCESO SA CV,AV LIBERTAD NO 102,ATIZAPAN,ATIZAPAN EM
SERV GEREDIN,SERVICIOS GEREDIN SRL CV,CARR LAGO DE GUADALUPE KM 3.5,MARGARITA MAZA DE JUAREZ,ATIZAPAN EM
GASOL HEMAJO,INMOB HEMAJO DE ATLAJ SA CV,AV ISIDRO FABELA NO 600 SUR,SAN JOSE TOXI,ATLACOMULCO EM
SERV EL TREBOL,SUPER SERV EL TREBOL SACV,ENTRONQUE C VIAL J J CANTU SN,CENTRO,ATLACOMULCO EM
SERV ORVI ZONA INDUSTR,ORVI COMBUSTIBLES SA CV,LT 1 MZ 13,PARQUE IND ATLACOMULCO,ATLACOMULCO EM
EST DE SERV 0293,SERVICIO VILLAVERDE SA,CARR MEX PROGRESO KM 95,ATOTONILCO DE TULA,ATOTONILCO DE TULA HGO
SERV CONEJOS,SERV CONEJOS SA CV,CARR TULA JOROBAS KM 17.5,CONEJOS 1A SECC,ATOTONILCO DE TULA HGO
SERV CONEJOS DEB,SERV CONEJOS SA CV,CARR TULA JOROBAS KM 17.5,CONEJOS 1RA SECC,ATOTONILCO DE TULA HGO
SERV EL OASIS,FUENTES ONATE BERTHA,INDEPENDENCIA NO 48,CENTRO,ATOTONILCO EL ALTO JAL
SERV LOS AGAVES,NUNO GARCIA JORGE,AV INDEPENDENCIA NO 489,ATOTONILCO EL ALTO,ATOTONILCO EL ALTO JAL
SERV ANGELES,RUBIO LICONA ARMANDO ISIDRO,AV JUAREZ NO 109,CENTRO,ATOTONILCO GRANDE HGO
GASOL LAS PALMAS,VILLASENOR VELAZQUEZ J ALEJAND,AV INDEPENDENCIA NAL NO 880,CENTRO,AUTLAN DE NAVARRO JAL
GASOL LUPITA,GASOL LUPITA SACV,AV INDEPENDENCIA NAL NO 1038,CENTRO,AUTLAN DE NAVARRO JAL
GASOL LUPITA DEB,GASOLINERA LUPITA SA CV,AV INDEPENDENCIA NAL NO 1038,CENTRO,AUTLAN DE NAVARRO JAL
SERV BARRA DE NAVIDAD ,SERV BARRA DE NAVIDAD SA CV,AV INDEPENDENCIA NAC NO 1200,CENTRO,AUTLAN DE NAVARRO JAL
SERV ORIS,SERVICO ORIS SA CV,CARR OTUMBA MEXICO KM 1 NO SN,AXAPUSCO,AXAPUSCO EM
SERV PIRAMIDE,AUTO SERV PIRAMIDE SA CV,CARR MEX TULANCINGO KM 37 615,STO DOMINGO,AXAPUSCO EM
SERV PIRAMIDE DEB,AUTO SERV PIRAMIDE SA CV,CARR MEX TULANCINGO KM 37 615,STO DOMINGO,AXAPUSCO EM
SAN ANTONIO ES,EST SERVICIO SAN ANTONIO SA CV,CARR ACAPULCO PINOTEPA NO 80,CARRIZALILLO,AZOYU GRO
ESTACION 5791,SERV BAHIA DE BANDERAS SA CV  ,CARR PORVENIR KM 5 6,SAN JOSE DEL VALLE,BAHIA DE BANDERAS NAY
ULTRA EXPRESS,ULTRA EXPRESS SA CV,JOSE MARIA IGLESIAS NO 4909,SAN PABLO BALLEZA,BALLEZA CHIH
GAS MABARAK,GAS D XALAPA SA CV,BLVD XALAPA BAND KM 149 000 SN,BANDERILLA,BANDERILLA VER
SERV BANDERILLA,SERV BANDERILLA SA CV,CARR XALAPA MEXICO KM 323,CENTRO,BANDERILLA VER
SERV MARITIMOS,SERV MARITIMOS TURQUESA SA CV ,MZ 93 LT 4 Y 7,SM 99,BENITO JUAREZ QROO
SERV MILENIO,SERVICIO MILENIO SA CV,MZ 01 LOTES 8 Y 9,SM 17,BENITO JUAREZ QROO
GASOL GAMBOA,GASOLINERIA GAMBOA SRL,CARR TUXTLA AEROP KM 14 SN JUA,BERRIOZABAL,BERRIOZABAL CHIS
ABAST VERACRUZANA,ABAST VERACRUZANA SA CV,JUAN PABLO II NO 1046,VIRGINIA,BOCA DEL RIO VER
GAS MABARAK,GAS DE VERACRUZ MABARAK SA CV ,EJERCITO MEXICANO NO 1271,PRIMERO DE MAYO SUR,BOCA DEL RIO VER
GAS MABARAK,VERACRUZANA DE GAS SA CV,BLVD MIGUEL ALEMAN SN,EL MORRO INFONAVIT,BOCA DEL RIO VER
SERV LAZARO CARDENAS  ,DIAZ PEREZ REMEDIOS,LAZARO CARDENAS NO 1572,ADALBERTO TEJEDA,BOCA DEL RIO VER
SERV LOS ARCOS,GRUPO FERCHE SA CV,BLVD MIGUEL ALEMAN SN,PLAYA HERMOSA,BOCA DEL RIO VER
SERV VILLA,SERVICIO VILLA SA CV,VIVEROS NO 280,FRACC JARDINES DE VIRGINIA,BOCA DEL RIO VER
SERVIGILGA,SERVIGILGA SA CV,PASEO EJERCITO MEXICANO NO 217,PRIMERO DE MAYO SUR,BOCA DEL RIO VER
SUPER SERV COSTA VERDE,SUPER SERV COSTA VERDE SA CV  ,BVLD MANUEL AVILA CAMACHO SN,COSTA VERDE,BOCA DEL RIO VER
SERV PASTRANA,PASTRANA ZENTENO FERNANDO,CARR ESCOPETAZO KM 47,BOCHIL,BOCHIL CHIS
AUTO SERV SAN LUCAS,AUTO SERV SAN LUCAS SA CV,CARR SAN JOSE KM 2,CENTRO,CABO SAN LUCAS BCS
CTRO DE SERV ELVA,CTRO DE SERVICIOS ELVA SA CV  ,OBREGON Y AV GMO R PEREIDA SN,CENTRO,CABORCA SON
EL COYOTE,GASOLINERA EL COYOTE SA CV,CALLA 14 NO 1 OTE,AVIACION,CABORCA SON
EST DE SERV SALCIDO,SALCIDO CONTRERAS HOMERO,CALLE OBREGON NO 19 PTE,CENTRO,CABORCA SON
EST DE SERV TAURO,SALCIDO CONTRERAS HOMERO,CARR INT MEX TIJUANA KM 111,CENTRO,CABORCA SON
